Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,probability,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"'NSE:ASIANPAINT-EQ',",10,0,0,0,1500,750,3,1.5,5,5,50,,,,,,,,,,,,,
,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!,,,,,,,,,,,,,
,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,
"'NSE:HDFC-EQ',",12,0,0,0,2400,150,4.8,0.3,8,1,88.88888889,,,,,,,,,,,,,
,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!,,,,,,,,,,,,,
,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,
"'NSE:HDFCBANK-EQ',",12,0,0,0,2700,300,5.4,0.6,9,2,81.81818182,,,,,,,,,,,,,
,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!,,,,,,,,,,,,,
,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,
"'NSE:EICHERMOT-EQ',",10,0,0,0,2100,450,4.2,0.9,7,3,70,,,,,,,,,,,,,
,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!,,,,,,,,,,,,,
,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,
"'NSE:COALINDIA-EQ',",16,0,0,0,3300,750,6.6,1.5,11,5,68.75,,,,,,,,,,,,,
,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!,,,,,,,,,,,,,
,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,
"'NSE:INDUSINDBK-EQ',",12,0,0,0,2400,600,4.8,1.2,8,4,66.66666667,,,,,,,,,,,,,
,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!,,,,,,,,,,,,,
,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,
"'NSE:TATAMOTORS-EQ',",11,0,0,0,2100,600,4.2,1.2,7,4,63.63636364,,,,,,,,,,,,,
,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!,,,,,,,,,,,,,
,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,
"'NSE:SBIN-EQ',",8,0,0,0,1500,450,3,0.9,5,3,62.5,,,,,,,,,,,,,
,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!,,,,,,,,,,,,,
,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,
"'NSE:ICICIBANK-EQ',",10,0,0,0,1800,600,3.6,1.2,6,4,60,,,,,,,,,,,,,
,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,
Name,totalEntries,risk,reward,buffer,Profit,Loss,PercentageProfit,PercentageLoss,Win,losses,#VALUE!,,,,,,,,,,,,,
,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,
"'NSE:MARUTI-EQ',",10,0,0,0,1800,600,3.6,1.2,6,4,60,,,,,,,,,,,,,
